f0(local seq < 10: sente)	f0(local seq < 10: gote)	f0(local seq < 10: sente - gote)	player strength	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	string	continuous	string
			class	meta	meta	meta
15.0	5.94444444444	9.05555555556	-5.0	kgs_wide 10 <= X <= 100, player ben00 (6d)	36.0	strength: 6d
9.04	4.88	4.16	-5.0	kgs_wide 10 <= X <= 100, player Tabemasu (6d), subsampled to max 50	25.0	strength: 6d
14.0625	6.0625	8.0	-5.0	kgs_wide 10 <= X <= 100, player aromo (6d)	16.0	strength: 6d
9.36363636364	4.54545454545	4.81818181818	-5.0	kgs_wide 10 <= X <= 100, player Failharder (6d)	11.0	strength: 6d
8.73529411765	4.58823529412	4.14705882353	-5.0	kgs_wide 10 <= X <= 100, player somerville (6d)	34.0	strength: 6d
11.7222222222	6.5	5.22222222222	-5.0	kgs_wide 10 <= X <= 100, player wit9999 (6d)	18.0	strength: 6d
11.4705882353	5.47058823529	6.0	-5.0	kgs_wide 10 <= X <= 100, player iambad (6d)	17.0	strength: 6d
13.9411764706	5.47058823529	8.47058823529	-5.0	kgs_wide 10 <= X <= 100, player symanto (6d), subsampled to max 50	17.0	strength: 6d
8.55	4.275	4.275	-5.0	kgs_wide 10 <= X <= 100, player saitz (6d)	40.0	strength: 6d
11.2666666667	3.8	7.46666666667	-5.0	kgs_wide 10 <= X <= 100, player Empiror (6d)	15.0	strength: 6d
11.4411764706	5.82352941176	5.61764705882	-5.0	kgs_wide 10 <= X <= 100, player naomichan (6d), subsampled to max 50	34.0	strength: 6d
9.43333333333	5.26666666667	4.16666666667	-5.0	kgs_wide 10 <= X <= 100, player singleton (6d)	30.0	strength: 6d
11.4545454545	5.27272727273	6.18181818182	-5.0	kgs_wide 10 <= X <= 100, player cugel24k (6d)	11.0	strength: 6d
9.08	5.2	3.88	-5.0	kgs_wide 10 <= X <= 100, player suechan (6d)	25.0	strength: 6d
11.0689655172	5.41379310345	5.65517241379	-5.0	kgs_wide 10 <= X <= 100, player lighthouse (6d)	29.0	strength: 6d
13.9090909091	7.09090909091	6.81818181818	-5.0	kgs_wide 10 <= X <= 100, player ume8 (6d), subsampled to max 50	11.0	strength: 6d
8.85	4.75	4.1	-5.0	kgs_wide 10 <= X <= 100, player hikarunoko (6d)	20.0	strength: 6d
9.125	3.75	5.375	-5.0	kgs_wide 10 <= X <= 100, player ApplePie (6d)	16.0	strength: 6d
12.1851851852	6.2962962963	5.88888888889	-5.0	kgs_wide 10 <= X <= 100, player NYDY (6d)	27.0	strength: 6d
7.46666666667	4.66666666667	2.8	-5.0	kgs_wide 10 <= X <= 100, player ikami (6d)	15.0	strength: 6d
7.0	3.0	4.0	-5.0	kgs_wide 10 <= X <= 100, player lorikeet (6d), subsampled to max 50	23.0	strength: 6d
13.2727272727	6.36363636364	6.90909090909	-5.0	kgs_wide 10 <= X <= 100, player ben0 (6d)	22.0	strength: 6d
12.5862068966	5.51724137931	7.06896551724	-5.0	kgs_wide 10 <= X <= 100, player take1970 (6d)	29.0	strength: 6d
8.27777777778	5.05555555556	3.22222222222	-5.0	kgs_wide 10 <= X <= 100, player kthj86 (6d)	18.0	strength: 6d
5.61538461538	3.92307692308	1.69230769231	-5.0	kgs_wide 10 <= X <= 100, player PASSAT (6d)	13.0	strength: 6d
10.1818181818	5.90909090909	4.27272727273	-5.0	kgs_wide 10 <= X <= 100, player michigan24 (6d)	11.0	strength: 6d
10.0666666667	4.0	6.06666666667	-5.0	kgs_wide 10 <= X <= 100, player life (6d)	15.0	strength: 6d
11.2333333333	6.26666666667	4.96666666667	-5.0	kgs_wide 10 <= X <= 100, player hirubon (6d), subsampled to max 50	30.0	strength: 6d
7.0	4.34782608696	2.65217391304	-5.0	kgs_wide 10 <= X <= 100, player howzulee (6d), subsampled to max 50	23.0	strength: 6d
9.72727272727	4.90909090909	4.81818181818	-5.0	kgs_wide 10 <= X <= 100, player angryfist (6d)	11.0	strength: 6d
11.4489795918	5.32653061224	6.12244897959	-5.0	kgs_wide 10 <= X <= 100, player satoke (6d), subsampled to max 50	49.0	strength: 6d
13.3529411765	6.64705882353	6.70588235294	-5.0	kgs_wide 10 <= X <= 100, player michi2009 (6d), subsampled to max 50	17.0	strength: 6d
9.91666666667	6.08333333333	3.83333333333	-5.0	kgs_wide 10 <= X <= 100, player miao (6d)	12.0	strength: 6d
9.07692307692	5.46153846154	3.61538461538	-5.0	kgs_wide 10 <= X <= 100, player supertjc (6d), subsampled to max 50	26.0	strength: 6d
10.76	5.44	5.32	-5.0	kgs_wide 10 <= X <= 100, player Hezi (6d)	25.0	strength: 6d
10.8928571429	5.5	5.39285714286	-5.0	kgs_wide 10 <= X <= 100, player Menglei (6d)	28.0	strength: 6d
5.81818181818	5.0	0.818181818182	-5.0	kgs_wide 10 <= X <= 100, player kisume (6d)	11.0	strength: 6d
12.5151515152	5.63636363636	6.87878787879	-5.0	kgs_wide 10 <= X <= 100, player eastwisdom (6d), subsampled to max 50	33.0	strength: 6d
10.7096774194	5.1935483871	5.51612903226	-5.0	kgs_wide 10 <= X <= 100, player Iwish (6d), subsampled to max 50	31.0	strength: 6d
6.58333333333	3.58333333333	3.0	-5.0	kgs_wide 10 <= X <= 100, player Im (6d)	12.0	strength: 6d
10.5714285714	5.09523809524	5.47619047619	-5.0	kgs_wide 10 <= X <= 100, player Seadog (6d)	21.0	strength: 6d
13.2903225806	6.1935483871	7.09677419355	-5.0	kgs_wide 10 <= X <= 100, player shimamura (6d)	31.0	strength: 6d
6.41666666667	3.16666666667	3.25	-5.0	kgs_wide 10 <= X <= 100, player go1d (6d)	12.0	strength: 6d
8.07692307692	4.30769230769	3.76923076923	-5.0	kgs_wide 10 <= X <= 100, player wizardlich (6d)	13.0	strength: 6d
11.5641025641	4.79487179487	6.76923076923	-5.0	kgs_wide 10 <= X <= 100, player mi5103kann (6d)	39.0	strength: 6d
9.66666666667	5.66666666667	4.0	-5.0	kgs_wide 10 <= X <= 100, player softy (6d), subsampled to max 50	12.0	strength: 6d
8.47222222222	4.61111111111	3.86111111111	-5.0	kgs_wide 10 <= X <= 100, player forgotten (6d)	36.0	strength: 6d
11.4	6.24	5.16	-5.0	kgs_wide 10 <= X <= 100, player sjun (6d)	25.0	strength: 6d
13.1304347826	6.34782608696	6.78260869565	-5.0	kgs_wide 10 <= X <= 100, player AndrewTao (6d)	23.0	strength: 6d
8.46153846154	3.30769230769	5.15384615385	-5.0	kgs_wide 10 <= X <= 100, player ben000 (6d)	13.0	strength: 6d
12.7142857143	4.64285714286	8.07142857143	-5.0	kgs_wide 10 <= X <= 100, player j4 (6d)	14.0	strength: 6d
7.04444444444	4.15555555556	2.88888888889	-5.0	kgs_wide 10 <= X <= 100, player boatlord (6d), subsampled to max 50	45.0	strength: 6d
9.04545454545	4.63636363636	4.40909090909	-5.0	kgs_wide 10 <= X <= 100, player JKC (6d)	22.0	strength: 6d
11.125	5.225	5.9	-5.0	kgs_wide 10 <= X <= 100, player foxy (6d)	40.0	strength: 6d
11.5	5.41666666667	6.08333333333	-5.0	kgs_wide 10 <= X <= 100, player roln111 (6d)	12.0	strength: 6d
