f0(wins by points)	f0(wins by resign)	f0(wp - wr)	f0(lost by points)	f0(lost by resign)	f0(lp - lr)	player strength	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
						class	meta	meta	meta
0.137931034483	0.137931034483	0.0	0.48275862069	0.241379310345	0.241379310345	-5.0	kgs_wide 10 <= X <= 100, player ben00 (6d)	36.0	strength: 6d
0.3	0.4	-0.1	0.0	0.3	-0.3	-5.0	kgs_wide 10 <= X <= 100, player Tabemasu (6d), subsampled to max 50	25.0	strength: 6d
0.3125	0.125	0.1875	0.1875	0.375	-0.1875	-5.0	kgs_wide 10 <= X <= 100, player aromo (6d)	16.0	strength: 6d
0.0	0.4	-0.4	0.4	0.2	0.2	-5.0	kgs_wide 10 <= X <= 100, player Failharder (6d)	11.0	strength: 6d
0.0	0.681818181818	-0.681818181818	0.181818181818	0.136363636364	0.0454545454545	-5.0	kgs_wide 10 <= X <= 100, player somerville (6d)	34.0	strength: 6d
0.133333333333	0.133333333333	0.0	0.4	0.333333333333	0.0666666666667	-5.0	kgs_wide 10 <= X <= 100, player wit9999 (6d)	18.0	strength: 6d
0.176470588235	0.117647058824	0.0588235294118	0.117647058824	0.588235294118	-0.470588235294	-5.0	kgs_wide 10 <= X <= 100, player iambad (6d)	17.0	strength: 6d
0.3125	0.375	-0.0625	0.0625	0.25	-0.1875	-5.0	kgs_wide 10 <= X <= 100, player symanto (6d), subsampled to max 50	17.0	strength: 6d
0.0384615384615	0.269230769231	-0.230769230769	0.115384615385	0.576923076923	-0.461538461538	-5.0	kgs_wide 10 <= X <= 100, player saitz (6d)	40.0	strength: 6d
0.142857142857	0.214285714286	-0.0714285714286	0.285714285714	0.357142857143	-0.0714285714286	-5.0	kgs_wide 10 <= X <= 100, player Empiror (6d)	15.0	strength: 6d
0.153846153846	0.307692307692	-0.153846153846	0.192307692308	0.346153846154	-0.153846153846	-5.0	kgs_wide 10 <= X <= 100, player naomichan (6d), subsampled to max 50	34.0	strength: 6d
0.206896551724	0.413793103448	-0.206896551724	0.172413793103	0.206896551724	-0.0344827586207	-5.0	kgs_wide 10 <= X <= 100, player singleton (6d)	30.0	strength: 6d
0.111111111111	0.0	0.111111111111	0.333333333333	0.555555555556	-0.222222222222	-5.0	kgs_wide 10 <= X <= 100, player cugel24k (6d)	11.0	strength: 6d
0.136363636364	0.227272727273	-0.0909090909091	0.136363636364	0.5	-0.363636363636	-5.0	kgs_wide 10 <= X <= 100, player suechan (6d)	25.0	strength: 6d
0.0357142857143	0.142857142857	-0.107142857143	0.285714285714	0.535714285714	-0.25	-5.0	kgs_wide 10 <= X <= 100, player lighthouse (6d)	29.0	strength: 6d
