f0(wins #points)	f0(loses #points)	player strength	OSL name	OSL size	Image name
continuous	continuous	continuous	string	continuous	string
		class	meta	meta	meta
1.44444444444	6.55555555556	-5.0	kgs_wide 10 <= X <= 100, player ben00 (6d)	36.0	strength: 6d
13.5	0.0	-5.0	kgs_wide 10 <= X <= 100, player Tabemasu (6d), subsampled to max 50	25.0	strength: 6d
8.4375	0.8125	-5.0	kgs_wide 10 <= X <= 100, player aromo (6d)	16.0	strength: 6d
0.0	1.5	-5.0	kgs_wide 10 <= X <= 100, player Failharder (6d)	11.0	strength: 6d
0.0	14.5	-5.0	kgs_wide 10 <= X <= 100, player somerville (6d)	34.0	strength: 6d
1.25	17.0	-5.0	kgs_wide 10 <= X <= 100, player wit9999 (6d)	18.0	strength: 6d
4.3	7.6	-5.0	kgs_wide 10 <= X <= 100, player iambad (6d)	17.0	strength: 6d
17.4166666667	0.583333333333	-5.0	kgs_wide 10 <= X <= 100, player symanto (6d), subsampled to max 50	17.0	strength: 6d
0.125	4.875	-5.0	kgs_wide 10 <= X <= 100, player saitz (6d)	40.0	strength: 6d
7.83333333333	14.1666666667	-5.0	kgs_wide 10 <= X <= 100, player Empiror (6d)	15.0	strength: 6d
4.55555555556	3.5	-5.0	kgs_wide 10 <= X <= 100, player naomichan (6d), subsampled to max 50	34.0	strength: 6d
7.36363636364	5.40909090909	-5.0	kgs_wide 10 <= X <= 100, player singleton (6d)	30.0	strength: 6d
2.375	12.375	-5.0	kgs_wide 10 <= X <= 100, player cugel24k (6d)	11.0	strength: 6d
1.08333333333	3.75	-5.0	kgs_wide 10 <= X <= 100, player suechan (6d)	25.0	strength: 6d
1.38888888889	13.0	-5.0	kgs_wide 10 <= X <= 100, player lighthouse (6d)	29.0	strength: 6d
7.8	0.9	-5.0	kgs_wide 10 <= X <= 100, player ume8 (6d), subsampled to max 50	11.0	strength: 6d
7.2	0.1	-5.0	kgs_wide 10 <= X <= 100, player hikarunoko (6d)	20.0	strength: 6d
14.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player ApplePie (6d)	16.0	strength: 6d
4.22222222222	4.27777777778	-5.0	kgs_wide 10 <= X <= 100, player NYDY (6d)	27.0	strength: 6d
0.0	15.5	-5.0	kgs_wide 10 <= X <= 100, player ikami (6d)	15.0	strength: 6d
0.0	0.0	-5.0	kgs_wide 10 <= X <= 100, player lorikeet (6d), subsampled to max 50	23.0	strength: 6d
6.95454545455	8.72727272727	-5.0	kgs_wide 10 <= X <= 100, player ben0 (6d)	22.0	strength: 6d
4.11111111111	6.94444444444	-5.0	kgs_wide 10 <= X <= 100, player take1970 (6d)	29.0	strength: 6d
14.75	4.75	-5.0	kgs_wide 10 <= X <= 100, player kthj86 (6d)	18.0	strength: 6d
25.8333333333	0.0	-5.0	kgs_wide 10 <= X <= 100, player PASSAT (6d)	13.0	strength: 6d
5.25	9.25	-5.0	kgs_wide 10 <= X <= 100, player michigan24 (6d)	11.0	strength: 6d
16.5	0.0	-5.0	kgs_wide 10 <= X <= 100, player life (6d)	15.0	strength: 6d
2.29166666667	4.125	-5.0	kgs_wide 10 <= X <= 100, player hirubon (6d), subsampled to max 50	30.0	strength: 6d
1.16666666667	10.3333333333	-5.0	kgs_wide 10 <= X <= 100, player howzulee (6d), subsampled to max 50	23.0	strength: 6d
0.0	16.1666666667	-5.0	kgs_wide 10 <= X <= 100, player angryfist (6d)	11.0	strength: 6d
17.2222222222	1.27777777778	-5.0	kgs_wide 10 <= X <= 100, player satoke (6d), subsampled to max 50	49.0	strength: 6d
7.4	3.2	-5.0	kgs_wide 10 <= X <= 100, player michi2009 (6d), subsampled to max 50	17.0	strength: 6d
3.33333333333	2.5	-5.0	kgs_wide 10 <= X <= 100, player miao (6d)	12.0	strength: 6d
2.05555555556	5.44444444444	-5.0	kgs_wide 10 <= X <= 100, player supertjc (6d), subsampled to max 50	26.0	strength: 6d
2.05555555556	6.0	-5.0	kgs_wide 10 <= X <= 100, player Hezi (6d)	25.0	strength: 6d
