f0(bdist histogram: move <= 16, bdist <= 2)	f0(bdist histogram: move <= 16, bdist == 3)	f0(bdist histogram: move <= 16, bdist == 4)	f0(bdist histogram: move <= 16, bdist > 4)	f0(bdist histogram: 16 < move <= 64, bdist <= 2)	f0(bdist histogram: 16 < move <= 64, bdist == 3)	f0(bdist histogram: 16 < move <= 64, bdist == 4)	f0(bdist histogram: 16 < move <= 64, bdist > 4)	f0(bdist histogram: 64 < move <= 160, bdist <= 2)	f0(bdist histogram: 64 < move <= 160, bdist == 3)	f0(bdist histogram: 64 < move <= 160, bdist == 4)	f0(bdist histogram: 64 < move <= 160, bdist > 4)	f0(bdist histogram: move > 160, bdist <= 2)	f0(bdist histogram: move > 160, bdist == 3)	f0(bdist histogram: move > 160, bdist == 4)	f0(bdist histogram: move > 160, bdist > 4)	territory	orthodox	aggressiveness	thickness	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
																class	meta	meta	meta	meta	meta	meta
0.75	3.0625	3.6875	0.5	6.1875	5.0625	5.125	7.625	11.8125	7.625	7.0625	18.375	11.4375	3.125	3.8125	11.5625	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 0	16.0	style_2: Miyazawa Goro
0.6875	2.625	3.0625	1.625	4.125	6.5625	5.125	8.1875	11.0625	7.125	5.5	22.5	13.6875	3.5	3.375	10.0	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 1	16.0	style_2: Miyazawa Goro
0.3125	2.75	4.0	0.9375	4.5	6.9375	4.625	7.9375	9.75	6.625	6.0625	20.0625	9.0625	2.8125	2.6875	8.375	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 2	16.0	style_2: Miyazawa Goro
0.8125	3.3125	3.4375	0.4375	4.625	6.4375	5.1875	7.75	10.3125	8.8125	6.5	20.5	12.625	3.375	3.5	12.375	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 3	16.0	style_2: Miyazawa Goro
0.5625	3.75	3.25	0.4375	4.5	6.625	5.5625	7.3125	12.5625	7.5625	5.75	20.75	12.4375	4.0625	2.4375	12.5	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 4	16.0	style_2: Miyazawa Goro
0.5	3.5	2.9375	1.0625	3.9375	5.75	4.5625	9.75	11.1875	7.8125	6.375	20.4375	9.5	2.875	3.25	8.875	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 5	16.0	style_2: Miyazawa Goro
0.375	3.5	2.9375	1.1875	3.6875	5.5625	5.6875	8.8125	10.3125	6.1875	5.75	18.8125	5.8125	1.9375	2.0	4.9375	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 6	16.0	style_2: Miyazawa Goro
0.5625	3.375	3.3125	0.75	4.1875	5.375	4.9375	9.5	11.875	9.0625	6.4375	18.0	13.1875	3.1875	3.4375	11.4375	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 7	16.0	style_2: Miyazawa Goro
