f0(capture histogram: move <= 40, captured)	f0(capture histogram: move <= 40, lost)	f0(capture histogram: move <= 40, difference)	f0(capture histogram: 40 < move <= 160, captured)	f0(capture histogram: 40 < move <= 160, lost)	f0(capture histogram: 40 < move <= 160, difference)	f0(capture histogram: move > 160, captured)	f0(capture histogram: move > 160, lost)	f0(capture histogram: move > 160, difference)	territory	orthodox	aggressiveness	thickness	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
									class	meta	meta	meta	meta	meta	meta
0.125	0.375	-0.25	3.0	4.4375	-1.4375	4.9375	4.4375	0.5	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 0	16.0	style_2: Miyazawa Goro
0.125	0.0625	0.0625	3.5625	4.125	-0.5625	5.9375	4.1875	1.75	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 1	16.0	style_2: Miyazawa Goro
0.0	0.0625	-0.0625	3.375	2.6875	0.6875	2.75	4.3125	-1.5625	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 2	16.0	style_2: Miyazawa Goro
0.4375	0.3125	0.125	2.625	2.6875	-0.0625	3.0625	3.5625	-0.5	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 3	16.0	style_2: Miyazawa Goro
0.0625	0.125	-0.0625	3.4375	3.3125	0.125	6.8125	6.0625	0.75	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 4	16.0	style_2: Miyazawa Goro
0.125	0.0625	0.0625	2.5625	3.125	-0.5625	4.1875	3.25	0.9375	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 5	16.0	style_2: Miyazawa Goro
0.0	0.1875	-0.1875	2.125	3.1875	-1.0625	1.0625	1.9375	-0.875	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 6	16.0	style_2: Miyazawa Goro
0.3125	0.3125	0.0	2.875	3.125	-0.25	4.375	5.0	-0.625	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 7	16.0	style_2: Miyazawa Goro
0.0666666666667	0.333333333333	-0.266666666667	3.4	3.73333333333	-0.333333333333	6.53333333333	5.53333333333	1.0	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 8	16.0	style_2: Miyazawa Goro
0.0	0.0625	-0.0625	2.3125	2.5625	-0.25	5.25	4.5	0.75	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 9	16.0	style_2: Miyazawa Goro
0.0625	0.1875	-0.125	2.3125	2.3125	0.0	2.9375	2.6875	0.25	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 10	16.0	style_2: Miyazawa Goro
0.375	0.0625	0.3125	2.625	3.875	-1.25	1.875	1.4375	0.4375	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 11	16.0	style_2: Miyazawa Goro
0.0625	0.1875	-0.125	2.6875	2.5625	0.125	7.375	6.5625	0.8125	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 0	16.0	style_2: Gu Li
0.125	0.3125	-0.1875	2.9375	2.375	0.5625	5.5625	5.4375	0.125	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 1	16.0	style_2: Gu Li
0.0	0.25	-0.25	3.375	3.8125	-0.4375	4.5625	4.625	-0.0625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 2	16.0	style_2: Gu Li
0.0625	0.1875	-0.125	3.3125	3.0625	0.25	3.1875	1.6875	1.5	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 3	16.0	style_2: Gu Li
0.25	0.125	0.125	3.5	4.0	-0.5	4.625	4.4375	0.1875	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 4	16.0	style_2: Gu Li
0.25	0.1875	0.0625	3.6875	2.375	1.3125	9.3125	7.6875	1.625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 5	16.0	style_2: Gu Li
0.125	0.0625	0.0625	3.4375	2.6875	0.75	4.5625	4.5	0.0625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 6	16.0	style_2: Gu Li
0.0625	0.125	-0.0625	4.125	3.25	0.875	4.125	6.625	-2.5	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 7	16.0	style_2: Gu Li
0.125	0.25	-0.125	4.5625	3.5625	1.0	3.125	3.0625	0.0625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 8	16.0	style_2: Gu Li
0.125	0.0	0.125	4.75	4.25	0.5	6.0625	6.4375	-0.375	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 9	16.0	style_2: Gu Li
0.1875	0.0	0.1875	2.4375	2.75	-0.3125	3.625	3.6875	-0.0625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 10	16.0	style_2: Gu Li
0.4375	0.1875	0.25	3.125	3.0	0.125	6.875	6.1875	0.6875	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 11	16.0	style_2: Gu Li
0.1875	0.0	0.1875	2.3125	3.3125	-1.0	3.375	3.0	0.375	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 0	16.0	style_2: O Meien
0.0625	0.0625	0.0	3.1875	2.6875	0.5	3.3125	3.875	-0.5625	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 1	16.0	style_2: O Meien
0.125	0.1875	-0.0625	3.875	4.25	-0.375	5.875	7.625	-1.75	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 2	16.0	style_2: O Meien
0.0	0.1875	-0.1875	3.0625	2.5	0.5625	5.5625	5.25	0.3125	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 3	16.0	style_2: O Meien
0.0625	0.125	-0.0625	2.8125	1.3125	1.5	7.1875	5.1875	2.0	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 4	16.0	style_2: O Meien
0.0	0.125	-0.125	3.0625	3.3125	-0.25	6.25	5.4375	0.8125	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 5	16.0	style_2: O Meien
0.375	0.125	0.25	2.875	1.9375	0.9375	4.0	3.25	0.75	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 6	16.0	style_2: O Meien
0.0	0.1875	-0.1875	3.9375	3.375	0.5625	4.75	5.0625	-0.3125	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 7	16.0	style_2: O Meien
0.125	0.25	-0.125	2.1875	2.375	-0.1875	3.4375	3.75	-0.3125	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 8	16.0	style_2: O Meien
0.0625	0.25	-0.1875	2.5	2.4375	0.0625	4.4375	5.25	-0.8125	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 9	16.0	style_2: O Meien
0.125	0.125	0.0	3.5	3.0625	0.4375	4.9375	3.875	1.0625	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 10	16.0	style_2: O Meien
0.125	0.1875	-0.0625	3.625	3.3125	0.3125	2.75	3.5	-0.75	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 11	16.0	style_2: O Meien
