f0(wins by points)	f0(wins by resign)	f0(wp - wr)	f0(lost by points)	f0(lost by resign)	f0(lp - lr)	territory	orthodox	aggressiveness	thickness	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
						class	meta	meta	meta	meta	meta	meta
0.125	0.1875	-0.0625	0.25	0.4375	-0.1875	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 0	16.0	style_2: Miyazawa Goro
0.1875	0.1875	0.0	0.1875	0.4375	-0.25	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 1	16.0	style_2: Miyazawa Goro
0.1875	0.25	-0.0625	0.125	0.4375	-0.3125	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 2	16.0	style_2: Miyazawa Goro
0.266666666667	0.2	0.0666666666667	0.0666666666667	0.466666666667	-0.4	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 3	16.0	style_2: Miyazawa Goro
0.1875	0.3125	-0.125	0.0625	0.4375	-0.375	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 4	16.0	style_2: Miyazawa Goro
0.333333333333	0.266666666667	0.0666666666667	0.0666666666667	0.333333333333	-0.266666666667	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 5	16.0	style_2: Miyazawa Goro
0.0	0.428571428571	-0.428571428571	0.0714285714286	0.5	-0.428571428571	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 6	16.0	style_2: Miyazawa Goro
0.25	0.3125	-0.0625	0.1875	0.25	-0.0625	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 7	16.0	style_2: Miyazawa Goro
0.25	0.0625	0.1875	0.1875	0.5	-0.3125	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 8	16.0	style_2: Miyazawa Goro
0.0714285714286	0.428571428571	-0.357142857143	0.285714285714	0.214285714286	0.0714285714286	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 9	16.0	style_2: Miyazawa Goro
0.2	0.133333333333	0.0666666666667	0.133333333333	0.533333333333	-0.4	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 10	16.0	style_2: Miyazawa Goro
0.2	0.2	0.0	0.133333333333	0.466666666667	-0.333333333333	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 11	16.0	style_2: Miyazawa Goro
0.1875	0.5625	-0.375	0.125	0.125	0.0	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 0	16.0	style_2: Gu Li
0.0625	0.5625	-0.5	0.0625	0.3125	-0.25	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 1	16.0	style_2: Gu Li
0.0625	0.4375	-0.375	0.125	0.375	-0.25	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 2	16.0	style_2: Gu Li
0.0	0.8125	-0.8125	0.125	0.0625	0.0625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 3	16.0	style_2: Gu Li
0.1875	0.5625	-0.375	0.0	0.25	-0.25	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 4	16.0	style_2: Gu Li
0.0714285714286	0.428571428571	-0.357142857143	0.142857142857	0.357142857143	-0.214285714286	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 5	16.0	style_2: Gu Li
0.0625	0.5	-0.4375	0.0	0.4375	-0.4375	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 6	16.0	style_2: Gu Li
0.0	0.4375	-0.4375	0.1875	0.375	-0.1875	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 7	16.0	style_2: Gu Li
0.230769230769	0.692307692308	-0.461538461538	0.0	0.0769230769231	-0.0769230769231	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 8	16.0	style_2: Gu Li
0.3125	0.375	-0.0625	0.0625	0.25	-0.1875	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 9	16.0	style_2: Gu Li
0.0625	0.625	-0.5625	0.0625	0.25	-0.1875	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 10	16.0	style_2: Gu Li
0.2	0.466666666667	-0.266666666667	0.0666666666667	0.266666666667	-0.2	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 11	16.0	style_2: Gu Li
0.3125	0.3125	0.0	0.0625	0.3125	-0.25	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 0	16.0	style_2: O Meien
0.2	0.133333333333	0.0666666666667	0.2	0.466666666667	-0.266666666667	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 1	16.0	style_2: O Meien
0.1875	0.125	0.0625	0.3125	0.375	-0.0625	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 2	16.0	style_2: O Meien
0.466666666667	0.133333333333	0.333333333333	0.0666666666667	0.333333333333	-0.266666666667	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 3	16.0	style_2: O Meien
