f0(wins #points)	f0(loses #points)	territory	orthodox	aggressiveness	thickness	OSL name	OSL size	Image name
continuous	continuous	continuous	continuous	continuous	continuous	string	continuous	string
		class	meta	meta	meta	meta	meta	meta
1.0	2.33333333333	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 0	16.0	style_2: Miyazawa Goro
1.75	3.58333333333	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 1	16.0	style_2: Miyazawa Goro
1.7	0.2	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 2	16.0	style_2: Miyazawa Goro
4.6	1.5	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 3	16.0	style_2: Miyazawa Goro
1.625	0.5	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 4	16.0	style_2: Miyazawa Goro
4.75	0.75	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 5	16.0	style_2: Miyazawa Goro
0.0	8.5	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 6	16.0	style_2: Miyazawa Goro
1.92857142857	3.71428571429	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 7	16.0	style_2: Miyazawa Goro
0.857142857143	1.28571428571	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 8	16.0	style_2: Miyazawa Goro
0.9	5.0	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 9	16.0	style_2: Miyazawa Goro
3.1	3.0	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 10	16.0	style_2: Miyazawa Goro
1.5	3.9	1.5	10.0	9.5	4.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Miyazawa Goro, split 11	16.0	style_2: Miyazawa Goro
1.2	1.85	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 0	16.0	style_2: Gu Li
0.875	0.25	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 1	16.0	style_2: Gu Li
1.25	1.5	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 2	16.0	style_2: Gu Li
0.0	1.375	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 3	16.0	style_2: Gu Li
1.41666666667	0.0	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 4	16.0	style_2: Gu Li
0.583333333333	1.91666666667	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 5	16.0	style_2: Gu Li
0.5	0.0	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 6	16.0	style_2: Gu Li
0.0	2.83333333333	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 7	16.0	style_2: Gu Li
3.41666666667	0.0	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 8	16.0	style_2: Gu Li
1.625	0.291666666667	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 9	16.0	style_2: Gu Li
0.375	0.625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 10	16.0	style_2: Gu Li
1.5	0.625	6.25	7.75	9.25	5.0	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Gu Li, split 11	16.0	style_2: Gu Li
4.58333333333	0.25	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 0	16.0	style_2: O Meien
2.29166666667	2.25	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 1	16.0	style_2: O Meien
0.875	4.1875	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 2	16.0	style_2: O Meien
3.1875	0.8125	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 3	16.0	style_2: O Meien
4.54545454545	1.59090909091	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 4	16.0	style_2: O Meien
3.0625	1.0625	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 5	16.0	style_2: O Meien
3.7	1.0	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 6	16.0	style_2: O Meien
1.1	4.1	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 7	16.0	style_2: O Meien
1.5	0.785714285714	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 8	16.0	style_2: O Meien
4.2	0.9	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 9	16.0	style_2: O Meien
1.92857142857	2.71428571429	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 10	16.0	style_2: O Meien
1.85714285714	0.928571428571	2.66666666667	9.66666666667	8.33333333333	3.66666666667	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player O Meien, split 11	16.0	style_2: O Meien
1.95833333333	0.208333333333	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 0	16.0	style_2: Ma Xiaochun
1.65	0.35	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 1	16.0	style_2: Ma Xiaochun
1.5	0.59375	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 2	16.0	style_2: Ma Xiaochun
0.45	0.3	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 3	16.0	style_2: Ma Xiaochun
3.25	0.0625	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 4	16.0	style_2: Ma Xiaochun
1.08333333333	0.625	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 5	16.0	style_2: Ma Xiaochun
3.2	0.85	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 6	16.0	style_2: Ma Xiaochun
1.45	1.35	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 7	16.0	style_2: Ma Xiaochun
0.65	1.85	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 8	16.0	style_2: Ma Xiaochun
1.1	0.45	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 9	16.0	style_2: Ma Xiaochun
1.41666666667	0.75	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 10	16.0	style_2: Ma Xiaochun
0.892857142857	0.75	8.25	5.25	5.25	6.75	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Ma Xiaochun, split 11	16.0	style_2: Ma Xiaochun
0.9	4.2	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 0	16.0	style_2: Sakata Eio
2.07142857143	1.57142857143	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 1	16.0	style_2: Sakata Eio
1.22727272727	2.72727272727	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 2	16.0	style_2: Sakata Eio
5.625	2.125	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 3	16.0	style_2: Sakata Eio
3.875	1.625	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 4	16.0	style_2: Sakata Eio
3.9	6.6	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 5	16.0	style_2: Sakata Eio
0.857142857143	7.5	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 6	16.0	style_2: Sakata Eio
4.66666666667	4.83333333333	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 7	16.0	style_2: Sakata Eio
2.4375	5.0	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 8	16.0	style_2: Sakata Eio
1.78571428571	4.5	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 9	16.0	style_2: Sakata Eio
0.0	5.35714285714	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 10	16.0	style_2: Sakata Eio
1.375	6.875	8.0	4.0	7.75	8.25	Style_2, GameList(3, 'GoGoD', #games = 70170), one split == 16 games, number of splits == 12, Shuffled, Questionare Limit = 2, player Sakata Eio, split 11	16.0	style_2: Sakata Eio
